Entity	IFC4_ADD2
            IfcRationalBSplineCurveWithKnots	X
        IfcCompositeCurve	X
          IfcCompositeCurveOnSurface	X
            IfcBoundaryCurve	X
              IfcOuterBoundaryCurve	X
        IfcIndexedPolyCurve	X
        IfcPolyline	X
        IfcTrimmedCurve	X
      IfcConic	X
        IfcCircle	X
        IfcEllipse	X
      IfcLine	X
      IfcOffsetCurve2D	X
      IfcOffsetCurve3D	X
      IfcPcurve	X
      IfcSurfaceCurve	X
        IfcIntersectionCurve	X
        IfcSeamCurve	X
    IfcDirection	X
    IfcFaceBasedSurfaceModel	X
    IfcFillAreaStyleHatching	X
    IfcFillAreaStyleTiles	X
    IfcGeometricSet	X
      IfcGeometricCurveSet	X
    IfcHalfSpaceSolid	X
      IfcBoxedHalfSpace	X
      IfcPolygonalBoundedHalfSpace	X
    IfcLightSource	X
      IfcLightSourceAmbient	X
      IfcLightSourceDirectional	X
      IfcLightSourceGoniometric	X
      IfcLightSourcePositional	X
        IfcLightSourceSpot	X
    IfcPlacement	X
      IfcAxis1Placement	X
      IfcAxis2Placement2D	X
      IfcAxis2Placement3D	X
    IfcPlanarExtent	X
      IfcPlanarBox	X
    IfcPoint	X
      IfcCartesianPoint	X
      IfcPointOnCurve	X
      IfcPointOnSurface	X
    IfcSectionedSpine	X
    IfcShellBasedSurfaceModel	X
    IfcSolidModel	X
      IfcCsgSolid	X
      IfcManifoldSolidBrep	X
        IfcAdvancedBrep	X
          IfcAdvancedBrepWithVoids	X
        IfcFacetedBrep	X
          IfcFacetedBrepWithVoids	X
      IfcSweptAreaSolid	X
        IfcExtrudedAreaSolid	X
          IfcExtrudedAreaSolidTapered	X
        IfcFixedReferenceSweptAreaSolid	X
        IfcRevolvedAreaSolid	X
          IfcRevolvedAreaSolidTapered	X
        IfcSurfaceCurveSweptAreaSolid	X
      IfcSweptDiskSolid	X
        IfcSweptDiskSolidPolygonal	X
    IfcSurface	X
      IfcBoundedSurface	X
        IfcBSplineSurface	X
          IfcBSplineSurfaceWithKnots	X
            IfcRationalBSplineSurfaceWithKnots	X
        IfcCurveBoundedPlane	X
        IfcCurveBoundedSurface	X
        IfcRectangularTrimmedSurface	X
      IfcElementarySurface	X
        IfcCylindricalSurface	X
        IfcPlane	X
        IfcSphericalSurface	X
        IfcToroidalSurface	X
      IfcSweptSurface	X
        IfcSurfaceOfLinearExtrusion	X
        IfcSurfaceOfRevolution	X
    IfcTessellatedItem	X
      IfcIndexedPolygonalFace	X
        IfcIndexedPolygonalFaceWithVoids	X
      IfcTessellatedFaceSet	X
        IfcPolygonalFaceSet	X
        IfcTriangulatedFaceSet	X
    IfcTextLiteral	X
      IfcTextLiteralWithExtent	X
    IfcVector	X
  IfcMappedItem	X
  IfcStyledItem	X
  IfcTopologicalRepresentationItem	X
    IfcConnectedFaceSet	X
      IfcClosedShell	X
      IfcOpenShell	X
    IfcEdge	X
      IfcEdgeCurve	X
      IfcOrientedEdge	X
      IfcSubedge	X
    IfcFace	X
      IfcFaceSurface	X
        IfcAdvancedFace	X
    IfcFaceBound	X
      IfcFaceOuterBound	X
    IfcLoop	X
      IfcEdgeLoop	X
      IfcPolyLoop	X
      IfcVertexLoop	X
    IfcPath	X
    IfcVertex	X
      IfcVertexPoint	X
IfcRepresentationMap	X
IfcResourceLevelRelationship	X
  IfcApprovalRelationship	X
  IfcCurrencyRelationship	X
  IfcDocumentInformationRelationship	X
  IfcExternalReferenceRelationship	X
  IfcMaterialRelationship	X
  IfcOrganizationRelationship	X
  IfcPropertyDependencyRelationship	X
  IfcResourceApprovalRelationship	X
  IfcResourceConstraintRelationship	X
IfcRoot	X
  IfcObjectDefinition	X
    IfcContext	X
      IfcProject	X
      IfcProjectLibrary	X
    IfcObject	X
      IfcActor	X
        IfcOccupant	X
      IfcControl	X
        IfcActionRequest	X
        IfcCostItem	X
        IfcCostSchedule	X
        IfcPerformanceHistory	X
        IfcPermit	X
        IfcProjectOrder	X
        IfcWorkCalendar	X
        IfcWorkControl	X
          IfcWorkPlan	X
          IfcWorkSchedule	X
      IfcGroup	X
        IfcAsset	X
        IfcInventory	X
        IfcStructuralLoadGroup	X
          IfcStructuralLoadCase	X
        IfcStructuralResultGroup	X
        IfcSystem	X
          IfcBuildingSystem	X
          IfcDistributionSystem	X
            IfcDistributionCircuit	X
          IfcStructuralAnalysisModel	X
          IfcZone	X
      IfcProcess	X
        IfcEvent	X
        IfcProcedure	X
        IfcTask	X
      IfcProduct	X
        IfcAnnotation	X
        IfcElement	X
          IfcBuildingElement	X
            IfcBeam	X
              IfcBeamStandardCase	X
            IfcBuildingElementProxy	X
            IfcChimney	X
            IfcColumn	X
              IfcColumnStandardCase	X
            IfcCovering	X
            IfcCurtainWall	X
            IfcDoor	X
              IfcDoorStandardCase	X
            IfcFooting	X
            IfcMember	X
              IfcMemberStandardCase	X
            IfcPile	X
            IfcPlate	X
              IfcPlateStandardCase	X
            IfcRailing	X
            IfcRamp	X
            IfcRampFlight	X
            IfcRoof	X
            IfcShadingDevice	X
            IfcSlab	X
              IfcSlabElementedCase	X
              IfcSlabStandardCase	X
            IfcStair	X
            IfcStairFlight	X
            IfcWall	X
              IfcWallElementedCase	X
              IfcWallStandardCase	X
            IfcWindow	X
              IfcWindowStandardCase	X
          IfcCivilElement	X
          IfcDistributionElement	X
            IfcDistributionControlElement	X
              IfcActuator	X
              IfcAlarm	X
              IfcController	X
              IfcFlowInstrument	X
              IfcProtectiveDeviceTrippingUnit	X
              IfcSensor	X
              IfcUnitaryControlElement	X
            IfcDistributionFlowElement	X
              IfcDistributionChamberElement	X
              IfcEnergyConversionDevice	X
                IfcAirToAirHeatRecovery	X
                IfcBoiler	X
                IfcBurner	X
                IfcChiller	X
                IfcCoil	X
                IfcCondenser	X
                IfcCooledBeam	X
                IfcCoolingTower	X
                IfcElectricGenerator	X
                IfcElectricMotor	X
                IfcEngine	X
                IfcEvaporativeCooler	X
                IfcEvaporator	X
                IfcHeatExchanger	X
                IfcHumidifier	X
                IfcMotorConnection	X
                IfcSolarDevice	X
                IfcTransformer	X
                IfcTubeBundle	X
                IfcUnitaryEquipment	X
              IfcFlowController	X
                IfcAirTerminalBox	X
                IfcDamper	X
                IfcElectricDistributionBoard	X
                IfcElectricTimeControl	X
                IfcFlowMeter	X
                IfcProtectiveDevice	X
                IfcSwitchingDevice	X
                IfcValve	X
              IfcFlowFitting	X
                IfcCableCarrierFitting	X
                IfcCableFitting	X
                IfcDuctFitting	X
                IfcJunctionBox	X
                IfcPipeFitting	X
              IfcFlowMovingDevice	X
                IfcCompressor	X
                IfcFan	X
                IfcPump	X
              IfcFlowSegment	X
                IfcCableCarrierSegment	X
                IfcCableSegment	X
                IfcDuctSegment	X
                IfcPipeSegment	X
              IfcFlowStorageDevice	X
                IfcElectricFlowStorageDevice	X
                IfcTank	X
              IfcFlowTerminal	X
                IfcAirTerminal	X
                IfcAudioVisualAppliance	X
                IfcCommunicationsAppliance	X
                IfcElectricAppliance	X
                IfcFireSuppressionTerminal	X
                IfcLamp	X
                IfcLightFixture	X
                IfcMedicalDevice	X
                IfcOutlet	X
                IfcSanitaryTerminal	X
                IfcSpaceHeater	X
                IfcStackTerminal	X
                IfcWasteTerminal	X
              IfcFlowTreatmentDevice	X
                IfcDuctSilencer	X
                IfcFilter	X
                IfcInterceptor	X
          IfcElementAssembly	X
          IfcElementComponent	X
            IfcBuildingElementPart	X
            IfcDiscreteAccessory	X
            IfcFastener	X
            IfcMechanicalFastener	X
            IfcReinforcingElement	X
              IfcReinforcingBar	X
              IfcReinforcingMesh	X
              IfcTendon	X
              IfcTendonAnchor	X
            IfcVibrationIsolator	X
          IfcFeatureElement	X
            IfcFeatureElementAddition	X
              IfcProjectionElement	X
            IfcFeatureElementSubtraction	X
              IfcOpeningElement	X
                IfcOpeningStandardCase	X
              IfcVoidingFeature	X
            IfcSurfaceFeature	X
          IfcFurnishingElement	X
            IfcFurniture	X
            IfcSystemFurnitureElement	X
          IfcGeographicElement	X
          IfcTransportElement	X
          IfcVirtualElement	X
        IfcGrid	X
        IfcPort	X
          IfcDistributionPort	X
        IfcProxy	X
        IfcSpatialElement	X
          IfcExternalSpatialStructureElement	X
            IfcExternalSpatialElement	X
          IfcSpatialStructureElement	X
            IfcBuilding	X
            IfcBuildingStorey	X
            IfcSite	X
            IfcSpace	X
          IfcSpatialZone	X
        IfcStructuralActivity	X
          IfcStructuralAction	X
            IfcStructuralCurveAction	X
              IfcStructuralLinearAction	X
            IfcStructuralPointAction	X
            IfcStructuralSurfaceAction	X
              IfcStructuralPlanarAction	X
          IfcStructuralReaction	X
            IfcStructuralCurveReaction	X
            IfcStructuralPointReaction	X
            IfcStructuralSurfaceReaction	X
        IfcStructuralItem	X
          IfcStructuralConnection	X
            IfcStructuralCurveConnection	X
            IfcStructuralPointConnection	X
            IfcStructuralSurfaceConnection	X
          IfcStructuralMember	X
            IfcStructuralCurveMember	X
              IfcStructuralCurveMemberVarying	X
            IfcStructuralSurfaceMember	X
              IfcStructuralSurfaceMemberVarying	X
      IfcResource	X
        IfcConstructionResource	X
          IfcConstructionEquipmentResource	X
          IfcConstructionMaterialResource	X
          IfcConstructionProductResource	X
          IfcCrewResource	X
          IfcLaborResource	X
          IfcSubContractResource	X
    IfcTypeObject	X
      IfcTypeProcess	X
        IfcEventType	X
        IfcProcedureType	X
        IfcTaskType	X
      IfcTypeProduct	X
        IfcDoorStyle	X
        IfcElementType	X
          IfcBuildingElementType	X
            IfcBeamType	X
            IfcBuildingElementProxyType	X
            IfcChimneyType	X
            IfcColumnType	X
            IfcCoveringType	X
            IfcCurtainWallType	X
            IfcDoorType	X
            IfcFootingType	X
            IfcMemberType	X
            IfcPileType	X
            IfcPlateType	X
            IfcRailingType	X
            IfcRampFlightType	X
            IfcRampType	X
            IfcRoofType	X
            IfcShadingDeviceType	X
            IfcSlabType	X
            IfcStairFlightType	X
            IfcStairType	X
            IfcWallType	X
            IfcWindowType	X
          IfcCivilElementType	X
          IfcDistributionElementType	X
            IfcDistributionControlElementType	X
              IfcActuatorType	X
              IfcAlarmType	X
              IfcControllerType	X
              IfcFlowInstrumentType	X
              IfcProtectiveDeviceTrippingUnitType	X
              IfcSensorType	X
              IfcUnitaryControlElementType	X
            IfcDistributionFlowElementType	X
              IfcDistributionChamberElementType	X
              IfcEnergyConversionDeviceType	X
                IfcAirToAirHeatRecoveryType	X
                IfcBoilerType	X
                IfcBurnerType	X
                IfcChillerType	X
                IfcCoilType	X
                IfcCondenserType	X
                IfcCooledBeamType	X
                IfcCoolingTowerType	X
                IfcElectricGeneratorType	X
                IfcElectricMotorType	X
                IfcEngineType	X
                IfcEvaporativeCoolerType	X
                IfcEvaporatorType	X
                IfcHeatExchangerType	X
                IfcHumidifierType	X
                IfcMotorConnectionType	X
                IfcSolarDeviceType	X
                IfcTransformerType	X
                IfcTubeBundleType	X
                IfcUnitaryEquipmentType	X
              IfcFlowControllerType	X
                IfcAirTerminalBoxType	X
                IfcDamperType	X
                IfcElectricDistributionBoardType	X
                IfcElectricTimeControlType	X
                IfcFlowMeterType	X
                IfcProtectiveDeviceType	X
                IfcSwitchingDeviceType	X
                IfcValveType	X
              IfcFlowFittingType	X
                IfcCableCarrierFittingType	X
                IfcCableFittingType	X
                IfcDuctFittingType	X
                IfcJunctionBoxType	X
                IfcPipeFittingType	X
              IfcFlowMovingDeviceType	X
                IfcCompressorType	X
                IfcFanType	X
                IfcPumpType	X
              IfcFlowSegmentType	X
                IfcCableCarrierSegmentType	X
                IfcCableSegmentType	X
                IfcDuctSegmentType	X
                IfcPipeSegmentType	X
              IfcFlowStorageDeviceType	X
                IfcElectricFlowStorageDeviceType	X
                IfcTankType	X
              IfcFlowTerminalType	X
                IfcAirTerminalType	X
                IfcAudioVisualApplianceType	X
                IfcCommunicationsApplianceType	X
                IfcElectricApplianceType	X
                IfcFireSuppressionTerminalType	X
                IfcLampType	X
                IfcLightFixtureType	X
                IfcMedicalDeviceType	X
                IfcOutletType	X
                IfcSanitaryTerminalType	X
                IfcSpaceHeaterType	X
                IfcStackTerminalType	X
                IfcWasteTerminalType	X
              IfcFlowTreatmentDeviceType	X
                IfcDuctSilencerType	X
                IfcFilterType	X
                IfcInterceptorType	X
          IfcElementAssemblyType	X
          IfcElementComponentType	X
            IfcBuildingElementPartType	X
            IfcDiscreteAccessoryType	X
            IfcFastenerType	X
            IfcMechanicalFastenerType	X
            IfcReinforcingElementType	X
              IfcReinforcingBarType	X
              IfcReinforcingMeshType	X
              IfcTendonAnchorType	X
              IfcTendonType	X
            IfcVibrationIsolatorType	X
          IfcFurnishingElementType	X
            IfcFurnitureType	X
            IfcSystemFurnitureElementType	X
          IfcGeographicElementType	X
          IfcTransportElementType	X
        IfcSpatialElementType	X
          IfcSpatialStructureElementType	X
            IfcSpaceType	X
          IfcSpatialZoneType	X
        IfcWindowStyle	X
      IfcTypeResource	X
        IfcConstructionResourceType	X
          IfcConstructionEquipmentResourceType	X
          IfcConstructionMaterialResourceType	X
          IfcConstructionProductResourceType	X
          IfcCrewResourceType	X
          IfcLaborResourceType	X
          IfcSubContractResourceType	X
  IfcPropertyDefinition	X
    IfcPropertySetDefinition	X
      IfcPreDefinedPropertySet	X
        IfcDoorLiningProperties	X
        IfcDoorPanelProperties	X
        IfcPermeableCoveringProperties	X
        IfcReinforcementDefinitionProperties	X
        IfcWindowLiningProperties	X
        IfcWindowPanelProperties	X
      IfcPropertySet	X
      IfcQuantitySet	X
        IfcElementQuantity	X
    IfcPropertyTemplateDefinition	X
      IfcPropertySetTemplate	X
      IfcPropertyTemplate	X
        IfcComplexPropertyTemplate	X
        IfcSimplePropertyTemplate	X
  IfcRelationship	X
    IfcRelAssigns	X
      IfcRelAssignsToActor	X
      IfcRelAssignsToControl	X
      IfcRelAssignsToGroup	X
        IfcRelAssignsToGroupByFactor	X
      IfcRelAssignsToProcess	X
      IfcRelAssignsToProduct	X
      IfcRelAssignsToResource	X
    IfcRelAssociates	X
      IfcRelAssociatesApproval	X
      IfcRelAssociatesClassification	X
      IfcRelAssociatesConstraint	X
      IfcRelAssociatesDocument	X
      IfcRelAssociatesLibrary	X
      IfcRelAssociatesMaterial	X
    IfcRelConnects	X
      IfcRelConnectsElements	X
        IfcRelConnectsPathElements	X
        IfcRelConnectsWithRealizingElements	X
      IfcRelConnectsPorts	X
      IfcRelConnectsPortToElement	X
      IfcRelConnectsStructuralActivity	X
      IfcRelConnectsStructuralMember	X
        IfcRelConnectsWithEccentricity	X
      IfcRelContainedInSpatialStructure	X
      IfcRelCoversBldgElements	X
      IfcRelCoversSpaces	X
      IfcRelFillsElement	X
      IfcRelFlowControlElements	X
      IfcRelInterferesElements	X
      IfcRelReferencedInSpatialStructure	X
      IfcRelSequence	X
      IfcRelServicesBuildings	X
      IfcRelSpaceBoundary	X
        IfcRelSpaceBoundary1stLevel	X
          IfcRelSpaceBoundary2ndLevel	X
    IfcRelDeclares	X
    IfcRelDecomposes	X
      IfcRelAggregates	X
      IfcRelNests	X
      IfcRelProjectsElement	X
      IfcRelVoidsElement	X
    IfcRelDefines	X
      IfcRelDefinesByObject	X
      IfcRelDefinesByProperties	X
      IfcRelDefinesByTemplate	X
      IfcRelDefinesByType	X
IfcSchedulingTime	X
  IfcEventTime	X
  IfcLagTime	X
  IfcResourceTime	X
  IfcTaskTime	X
    IfcTaskTimeRecurring	X
  IfcWorkTime	X
IfcShapeAspect	X
IfcStructuralConnectionCondition	X
  IfcFailureConnectionCondition	X
  IfcSlippageConnectionCondition	X
IfcStructuralLoad	X
  IfcStructuralLoadConfiguration	X
  IfcStructuralLoadOrResult	X
    IfcStructuralLoadStatic	X
      IfcStructuralLoadLinearForce	X
      IfcStructuralLoadPlanarForce	X
      IfcStructuralLoadSingleDisplacement	X
        IfcStructuralLoadSingleDisplacementDistortion	X
      IfcStructuralLoadSingleForce	X
        IfcStructuralLoadSingleForceWarping	X
      IfcStructuralLoadTemperature	X
    IfcSurfaceReinforcementArea	X
IfcTable	X
IfcTableColumn	X
IfcTableRow	X
IfcTimePeriod	X
IfcTimeSeries	X
  IfcIrregularTimeSeries	X
  IfcRegularTimeSeries	X
IfcTimeSeriesValue	X
IfcUnitAssignment	X
IfcVirtualGridIntersection	X
